Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2854.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","53.43","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","66.7","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","8922.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","040","Austria","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","43","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","67.19","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","9578.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","112","Belarus","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.21","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","69.42","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","11611.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","40.79","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","71.02","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","3270.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","70.4","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","39.58","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","6885.87","X","Figure from international organizations"
"FBS","Food Balances (2010-)","100","Bulgaria","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","40.27","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","51.21","E","Estimated value"
"FBS","Food Balances (2010-)","191","Croatia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","4060.14","X","Figure from international organizations"
"FBS","Food Balances (2010-)","191","Croatia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","38.39","E","Estimated value"
"FBS","Food Balances (2010-)","191","Croatia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","68.47","E","Estimated value"
"FBS","Food Balances (2010-)","203","Czechia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10510.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","203","Czechia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","34.77","E","Estimated value"
"FBS","Food Balances (2010-)","203","Czechia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","62.47","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5854.24","X","Figure from international organizations"
"FBS","Food Balances (2010-)","208","Denmark","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.98","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","75.21","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1328.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","233","Estonia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","32.78","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","78.84","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5535.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","246","Finland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","43.26","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","79.63","E","Estimated value"
"FBS","Food Balances (2010-)","250","France","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","64531.44","X","Figure from international organizations"
"FBS","Food Balances (2010-)","250","France","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","42.51","E","Estimated value"
"FBS","Food Balances (2010-)","250","France","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","80.11","E","Estimated value"
"FBS","Food Balances (2010-)","276","Germany","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","83408.55","X","Figure from international organizations"
"FBS","Food Balances (2010-)","276","Germany","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","36.81","E","Estimated value"
